Year,Quarter,Month,Day,Tickets Sold,Show Revenue
2022,Qtr 3,September,1,5766,$763826
2022,Qtr 3,September,2,7226,$834256
2022,Qtr 3,August,28,5630,$924093
2022,Qtr 3,September,16,5373,$955727
2022,Qtr 4,December,10,6584,$1159033
2022,Qtr 4,October,8,11908,$1354014
2022,Qtr 4,October,9,11908,$1354014
2022,Qtr 4,October,12,11908,$1354014
2022,Qtr 3,August,7,7708,$1506128
2022,Qtr 3,August,19,7708,$1506128
2022,Qtr 4,November,5,20222,$1557040
2022,Qtr 4,November,19,23339,$1596521
2022,Qtr 4,November,8,19942,$1613417
2022,Qtr 3,September,10,14654,$1629315
2022,Qtr 3,August,2,12082,$1636806
2022,Qtr 3,September,7,13492,$1682878
2022,Qtr 3,August,23,11659,$1690703
2022,Qtr 4,December,18,10850,$1691173
2022,Qtr 4,December,19,10850,$1691173
2022,Qtr 3,August,12,12463,$1700823
2022,Qtr 4,December,15,11061,$1730700
2022,Qtr 4,December,12,12322,$1816308
2022,Qtr 4,December,13,12322,$1816308
2022,Qtr 3,September,15,12046,$1838985
2022,Qtr 3,August,26,12019,$1908193
2022,Qtr 3,August,4,12279,$1910646
2022,Qtr 3,September,11,13469,$1915993
2022,Qtr 3,July,27,11845,$1926926
2022,Qtr 3,July,28,11845,$1926926
2022,Qtr 3,July,29,11845,$1926926
2022,Qtr 3,August,13,11845,$1926926
2022,Qtr 3,August,15,11845,$1926926
2022,Qtr 3,September,8,12164,$1929770
2022,Qtr 4,October,4,31025,$1955020
2022,Qtr 3,July,25,12132,$1961451
2022,Qtr 4,November,9,27148,$1968519
2022,Qtr 4,December,16,13230,$1979767
2022,Qtr 3,September,14,12762,$2015598
2022,Qtr 3,August,10,12899,$2020463
2022,Qtr 3,July,31,12048,$2057771
2022,Qtr 4,November,26,23895,$2071098
2022,Qtr 4,November,27,23895,$2071098
2022,Qtr 3,August,6,12601,$2071594
2022,Qtr 3,August,20,12601,$2071594
2022,Qtr 4,November,2,18546,$2079489
2022,Qtr 4,November,3,18546,$2079489
2022,Qtr 4,December,8,12520,$2190163
2022,Qtr 4,December,21,12816,$2226960
2022,Qtr 4,December,22,12816,$2226960
2022,Qtr 4,October,14,32763,$2234796
2022,Qtr 4,October,15,32763,$2234796
2022,Qtr 4,October,16,32763,$2234796
2022,Qtr 3,August,18,11955,$2268396
2022,Qtr 3,September,4,12476,$2293892
2022,Qtr 4,October,7,36249,$2330737
2022,Qtr 3,September,20,12487,$2337909
2022,Qtr 4,October,30,22126,$2399900
2022,Qtr 3,September,18,13458,$2416159
2022,Qtr 4,December,9,13262,$2431800
2022,Qtr 3,August,27,12712,$2439710
2022,Qtr 3,August,30,12712,$2439710
2022,Qtr 4,December,6,13902,$2446333
2022,Qtr 4,November,23,30254,$2527336
2022,Qtr 4,November,24,30254,$2527336
2022,Qtr 4,October,1,39024,$2732083
2022,Qtr 4,October,2,39024,$2732083
2022,Qtr 4,October,5,29271,$2733815
2022,Qtr 4,October,22,34012,$2735426
2022,Qtr 4,October,23,34012,$2735426
2022,Qtr 4,November,21,29548,$2741401
2022,Qtr 4,October,27,30048,$2964081
2022,Qtr 4,November,12,42975,$3083944
2022,Qtr 3,September,24,40471,$3981257
2022,Qtr 4,October,18,42913,$4111949
2022,Qtr 4,October,19,42913,$4111949
2022,Qtr 4,November,29,64406,$4876423
2022,Qtr 4,November,30,64406,$4876423
2022,Qtr 4,December,2,64406,$4876423
2022,Qtr 4,December,3,64406,$4876423
2022,Qtr 4,December,4,64406,$4876423
2022,Qtr 3,September,27,65639,$5911779
2022,Qtr 3,September,28,65639,$5911779
2022,Qtr 3,September,29,65639,$5911779
